de,el,en,it,ru,vi,zh
ich,εγώ ,I,io,я ,tôi,我
du,εσύ ,you,tu,ты ,tôi,你
er,αυτός ,he,lui,он ,anh ấy,他
wir,εμείς ,we,noi,мы ,chúng ta,我们
ihr,εσείς ,you,voi,вы ,các bạn,你们
sie,αυτοί ,they,loro,они,họ,他们
dies,αυτό ,this,questo,это,này,这
das,εκείνο ,that,quello,то ,đó,那
hier,εδώ ,here,qui,здесь ,đây,这里
da,εκεί ,there,là,там ,ở đó,那里
wer,ποιος ,who,chi,кто ,ai,谁
was,τι ,what,che,что ,gì,什么
wo,πού ,where,dove,где ,ở đâu,哪里
wann,πότε ,when,quando,когда ,khi nào,什么时候
wie,πώς ,how,come,как ,sao,如何
nicht,δε,not,non,не ,không,不
alle,όλοι ,all,tutto,всё ,tất cả,全部
viele,πολλοί ,many,molti,многие ,nhiều,多
einige,μερικοί ,some,alcuni,несколько ,mấy,一些
wenig,λίγοι ,few,poco,немногие ,ít,少
andere,άλλοι ,other,altro,другой,khác,其他
eins,ένα ,one,un,один ,một,一
zwei,δύο ,two,due,два ,hai,二
drei,τρία ,three,tre,три ,ba,三
vier,τέσσερα ,four,quattro,четыре,bốn,四
fünf,πέντε ,five,cinque,пять ,năm,五
gross,μεγάλος ,big,grande,большой ,lớn,大
lang,μακρύς ,long,lungo,длинный ,dài,长
breit,πλατύς ,wide,largo,широкий ,rộng,宽
dick,παχύς ,thick,spesso,толстый ,dày,厚
schwer,βαρύς ,heavy,pesante,тяжёлый ,nặng,重
klein,μικρός ,small,piccolo,маленький ,nhỏ,小
kurz,κοντός ,short,corto,короткий ,ngắn,短
eng,στενός ,narrow,stretto,узкий ,chật,窄
dünn,λεπτός ,thin,sottile,тонкий ,mỏng,薄
Frau,γυναίκα ,woman,donna,женщина ,đàn bà,女人
Mann,άνδρας ,man,uomo,мужчина ,đàn ông,男人
Mensch,άνθρωπος ,man,uomo,человек ,người,人
Kind,παιδί ,child,bambino,ребёнок ,con,孩子
Frau,σύζυγος ,wife,moglie,жена ,vợ,妻子
Mann,σύζυγος ,husband,marito,муж ,chồng,丈夫
Mutter,μητέρα ,mother,madre,мать ,mẹ,母亲
Vater,πατέρας ,father,padre,отец ,cha,父亲
Tier,ζώο ,animal,animale,зверь ,thú,动物
Fisch,ψάρι ,fish,pesce,рыба ,cá,鱼
Vogel,πουλί ,bird,uccello,птица ,chim,鸟
Hund,σκύλος ,dog,cane,собака ,chó,狗
Laus,ψείρα ,louse,pidocchio,вошь ,rận,虱
Schlange,φίδι ,snake,serpente,змея ,rắn,蛇
Wurm,σκουλήκι ,worm,verme,червь ,giun,虫
Baum,δέντρο ,tree,albero,дерево ,cây,树
Wald,δάσος ,forest,selva,лес ,rừng,森林
Stock,ραβδί ,stick,bastone,палка ,gậy,树枝
Frucht,φρούτο ,fruit,frutta,плод ,quả,水果
Samen,σπόρος ,seed,seme,семя ,hạt,种子
Blatt,φύλλο ,leaf,foglia,лист ,lá,叶
Wurzel,ρίζα ,root,radice,корень ,rễ,根
Rinde,φλοιός ,bark,corteccia,кора ,vỏ,树皮
Blume,λουλούδι ,flower,fiore,цветок ,hoa,花
Gras,χορτάρι ,grass,erba,трава,cỏ,草
Seil,σχοινί ,rope,corda,верёвка ,dây,绳
Haut,δέρμα ,skin,pelle,кожа,da,皮
Fleisch,κρέας ,meat,carne,мясо,thịt,肉
Blut,αίμα ,blood,sangue,кровь ,máu,血
Knochen,κόκαλο ,bone,osso,кость ,xương,骨
Fett,λίπος ,fat,grasso,жир ,mỡ,脂肪
