de,en,zh,ru
ich,I,我,я 
du,you,你,ты 
er,he,他,он 
wir,we,我们,мы 
ihr,you,你们,вы 
sie,they,他们,они
dies,this,这,это
das,that,那,то 
hier,here,这里,здесь 
da,there,那里,там 
wer,who,谁,кто 
was,what,什么,что 
wo,where,哪里,где 
wann,when,什么时候,когда 
wie,how,如何,как 
nicht,not,不,не 
alle,all,全部,всё 
viele,many,多,многие 
einige,some,一些,несколько 
wenig,few,少,немногие 
andere,other,其他,другой
eins,one,一,один 
zwei,two,二,два 
drei,three,三,три 
vier,four,四,четыре
fünf,five,五,пять 
gross,big,大,большой 
lang,long,长,длинный 
breit,wide,宽,широкий 
dick,thick,厚,толстый 
schwer,heavy,重,тяжёлый 
klein,small,小,маленький 
kurz,short,短,короткий 
eng,narrow,窄,узкий 
dünn,thin,薄,тонкий 
Frau,woman,女人,женщина 
Mann,man,男人,мужчина 
Mensch,man,人,человек 
Kind,child,孩子,ребёнок 
Frau,wife,妻子,жена 
Mann,husband,丈夫,муж 
Mutter,mother,母亲,мать 
Vater,father,父亲,отец 
Tier,animal,动物,зверь 
Fisch,fish,鱼,рыба 
Vogel,bird,鸟,птица 
Hund,dog,狗,собака 
Laus,louse,虱,вошь 
Schlange,snake,蛇,змея 
Wurm,worm,虫,червь 
Baum,tree,树,дерево 
Wald,forest,森林,лес 
Stock,stick,树枝,палка 
Frucht,fruit,水果,плод 
Samen,seed,种子,семя 
Blatt,leaf,叶,лист 
Wurzel,root,根,корень 
Rinde,bark,树皮,кора 
Blume,flower,花,цветок 
Gras,grass,草,трава
Seil,rope,绳,верёвка 
Haut,skin,皮,кожа
Fleisch,meat,肉,мясо
Blut,blood,血,кровь 
Knochen,bone,骨,кость 
Fett,fat,脂肪,жир 
Ei,egg,蛋,яйцо
Horn,horn,角,рог 
Schwanz,tail,尾,хвост 
Feder,feather,羽毛,перо
Haar,hair,头发,волос 
Kopf,head,头,голова
Ohr,ear,耳朵,ухо
Auge,eye,眼睛,глаз 
Nase,nose,鼻,нос 
Mund,mouth,嘴,рот 
Zahn,tooth,牙齿,зуб 
Zunge,tongue,舌,язык
Fingernagel,fingernail,指甲,ноготь
Fuss,foot,脚,стопа
Bein,leg,腿,нога
Knie,knee,膝,колено
Hand,hand,手,рука
Flügel,wing,翼,крыло
Bauch,belly,肚子,живот 
Eingeweide,guts,肠子,кишки
Hals,neck,脖子,шея
Rücken,back,背,спина
Brust,breast,胸,грудь 
Herz,heart,心脏,сердце 
Leber,liver,肝,печень 
trinken,drink,喝,пить 
essen,eat,吃,есть 
beissen,bite,咬,кусать 
saugen,suck,吸,сосать 
spucken,spit,吐,плевать 
erbrechen,vomit,呕,рвать 
blasen,blow,吹,дуть 
atmen,breathe,呼吸,дышать 
lachen,laugh,笑,смеяться 
sehen,see,看,видеть 
hören,hear,听,слышать 
wissen,know,知道,знать 
denken,think,想,думать 
riechen,smell,嗅,нюхать 
fürchten,fear,怕,бояться 
schlafen,sleep,睡,спать 
leben,live,活,жить 
sterben,die,死,умирать 
töten,kill,杀,убивать 
kämpfen,fight,吵架,бороться 
jagen,hunt,打猎,охотиться 
schlagen,hit,打,ударять 
schneiden,cut,割,резать 
spalten,split,劈开,разделять 
stechen,stab,刺,колоть 
kratzen,scratch,搔,царапать 
graben,dig,挖,копать 
schwimmen,swim,游泳,плавать 
fliegen,fly,飞,летать 
gehen,walk,走,ходить 
kommen,come,来,приходить 
liegen,lie,躺,лежать 
sitzen,sit,坐,сидеть 
stehen,stand,站,стоять 
drehen,turn,转,вращать 
fallen,fall,落下,падать 
geben,give,给,давать 
halten,hold,握,держать 
quetschen,squeeze,挤,сжимать 
reiben,rub,揉,тереть 
waschen,wash,洗,мыть 
wischen,wipe,擦,вытирать 
ziehen,pull,拉,тянуть 
drücken,push,推,толкать 
werfen,throw,扔,бросать 
binden,tie,绑,вязать 
nähen,sew,缝,шить 
zählen,count,数,считать 
sagen,say,说,говорить 
singen,sing,唱,петь 
spielen,play,玩,играть 
schweben,float,浮,плавать 
fliessen,flow,流,течь 
frieren,freeze,结冰,замерзать 
schwellen,swell,膨胀,пухнуть 
Sonne,sun,太阳,солнце 
Mond,moon,月亮,луна 
Stern,star,星,звезда 
Wasser,water,水,вода
Regen,rain,雨,дождь 
Fluss,river,河,река
See,lake,湖,озеро 
Meer,sea,海,море 
Salz,salt,盐,соль 
Stein,stone,石头,камень 
Sand,sand,沙,песок 
Staub,dust,尘土,пыль 
Erde,earth,地球,земля
Wolke,cloud,云,облако 
Nebel,fog,雾,туман 
Himmel,sky,天,небо 
Wind,wind,风,ветер 
Schnee,snow,雪,снег 
Eis,ice,冰,лёд 
Rauch,smoke,烟,дым 
Feuer,fire,火,огонь 
Asche,ash,灰,зола
brennen,burn,烧,жечь 
Strasse,road,路,дорога 
Berg,mountain,山,гора
rot,red,红,красный
grün,green,绿,зелёный
gelb,yellow,黄,жёлтый
weiss,white,白,белый
schwarz,black,黑,чёрный
Nacht,night,夜晚,ночь 
Tag,day,白天,день 
Jahr,year,年,год 
warm,warm,温暖,тёплый
kalt,cold,冷,холодный 
voll,full,满,полный
neu,new,新,новый
alt,old,老,старый
gut,good,好,хороший 
schlecht,bad,坏,плохой 
faul,rotten,烂,гнилой 
schmutzig,dirty,脏,грязный 
gerade,straight,直,прямой 
rund,round,圆,круглый 
scharf,sharp,锋利,острый 
stumpf,dull,钝,тупой 
glatt,smooth,光滑,гладкий 
nass,wet,湿,мокрый 
trocken,dry,干,сухой 
richtig,correct,对,правильный 
nah,near,近,близкий 
weit,far,远,далёкий 
rechts,right,右,правый 
links,left,左,левый 
bei,at,在,при 
in,in,在...里,в 
mit,with,和,с 
und,and,和,и 
wenn,if,如果,если 
weil,because,因为,потому что 
Name,name,名字,имя 
